	P13008	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q9VES1	14605208
	Q9VES1	14605208
	Q9VPI3	14605208
		14605208
		14605208
		14605208
Q9V769		14605208
Q8INW0		14605208
	Q8INW0	14605208
Q8INW0		14605208
		14605208
		14605208
		14605208
P19109		14605208
Q05913		14605208
		14605208
	P13008	14605208
P13008		14605208
	P13008	14605208
		14605208
		14605208
Q9VES1		14605208
		14605208
Q24113		14605208
Q9VAN0		14605208
		14605208
	Q9VIT0	14605208
		14605208
		14605208
		14605208
	Q9VMW8	14605208
P22058		14605208
		14605208
Q8INW0		14605208
Q8INW0		14605208
Q8INW0		14605208
	Q8INW0	14605208
	Q8INW0	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q9VPS5	14605208
	P13008	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q8MSS1	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q86LC4	14605208
		14605208
O46036		14605208
	Q9VBL2	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P11455	P02834	14605208
		14605208
	A1Z6E8	14605208
	P48554	14605208
		14605208
	P09089	14605208
		14605208
		14605208
P35415		14605208
P92201		14605208
		14605208
	P02843	14605208
P46222		14605208
Q9W2N0		14605208
		14605208
		14605208
		14605208
		14605208
P40688		14605208
	P14199	14605208
P14199	O16011	14605208
P14199		14605208
P10981	P14199	14605208
P14199	Q8T053	14605208
P14199		14605208
P14199	Q24117	14605208
		14605208
		14605208
		14605208
		14605208
	Q94524	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q9GU68		14605208
		14605208
		14605208
		14605208
	Q02748	14605208
Q9VXX8		14605208
	P23757	14605208
		14605208
		14605208
		14605208
Q9GU68		14605208
		14605208
		14605208
P35415		14605208
		14605208
		14605208
	Q9W4P5	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q9W3S4	14605208
	Q02926	14605208
	Q9VJY9	14605208
	O46036	14605208
P82295		14605208
		14605208
	Q9VCH4	14605208
Q9VV43	Q9VCH4	14605208
	Q9VCH4	14605208
	P50535	14605208
		14605208
Q9VMA3		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q07327		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q23985	14605208
		14605208
	P10734	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P02834		14605208
	P02834	14605208
